종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
005380,현대차,"173,900","-2,300",1.31,"66,910,190,100","36,785,328,893,400"
001450,현대해상,"34,950","1,100",3.25,"20,413,125,000","3,124,530,000,000"
057050,현대홈쇼핑,"52,500",-200,0.38,"486,030,600","630,000,000,000"
008770,호텔신라,"79,700",100,0.13,"13,466,156,100","3,128,075,243,700"
241590,화승엔터프라이즈,"9,280",-190,2.01,"1,371,957,690","562,268,481,280"
004800,효성,"69,400","-1,100",1.56,"2,031,333,000","1,462,329,135,000"
298050,효성첨단소재,"417,500","-9,000",2.11,"10,814,052,000","1,870,378,290,000"
298020,효성티앤씨,"461,500","-8,500",1.81,"11,905,017,500","1,997,225,243,000"
093370,후성,"12,700",-420,3.2,"16,925,964,920","1,198,271,720,800"
081660,휠라홀딩스,"39,000",-250,0.64,"7,175,919,650","2,369,336,658,000"
